id,image path,caption,page number,chapter number,chapter name,book name,Author
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
,/Users/ohyoungmo/Bauhausorbits/_onweaving/Albers_Anni_On_Weaving_1974 ocr_Page_083_Image_0001.dds,This publication has not been tagged.,-,-,-,On Weaving,Anne Albers
